Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",113.8,88.9,230.9,0.4,2.6,717,560.1,2.4,0.4,44405.3,44636.2
"IG_1999",33.7,58.1,172,0.3,3,215.4,371.6,2.2,0.5,42361.6,42533.6
"IG_1995",23.7,53.8,113.9,0.5,2.1,152.3,345.4,3,0.3,41890.1,42004
"IG_1994",86.3,89.3,224.3,0.4,2.5,579.3,599.4,2.7,0.4,46700.3,46924.6
"IG_1992",55.9,52.7,111.6,0.5,2.1,358.1,337.6,3,0.3,43422.2,43533.8
"IG_1991",34.9,62.3,136.7,0.5,2.2,224.1,399.9,2.9,0.3,50007.7,50144.4
"IG_1990",44.8,96.1,207.4,0.5,2.2,269.6,598.7,2.9,0.3,47089,47296.4
"IG_1989",35.8,8.7,7.1,1.2,0.8,229.6,55.8,7.9,0.1,50684.5,50691.6
"IG_1993",235,94.7,224.7,0.4,2.4,606.9,608.2,2.7,0.4,42469.4,42694.1
"IG_1996",103.6,94.4,150.8,0.6,1.6,642,585,3.9,0.3,47930.9,48081.7
"IG_1997",114.2,94.4,170.9,0.6,1.8,732.8,605.8,3.5,0.3,39129.5,39300.4
"IG_1998",94.3,96.3,253.3,0.4,2.6,604.8,617.6,2.4,0.4,32356.3,32609.6
"IG_1979",25.5,53.3,113.6,0.5,2.1,163.3,341.7,3,0.3,38966.9,39080.5
"IG_1981",143.3,184.5,216.7,0.9,1.2,912.1,1176.4,5.4,0.2,40004.3,40221
"IG_1982",40.2,81.2,180,0.5,2.2,231,494.1,2.7,0.4,45279.2,45459.2
"IG_1984",105.6,57.7,150.3,0.4,2.6,670.8,367,2.4,0.4,45282.6,45432.9
"IG_1971",435.5,97.2,169.5,0.6,1.7,828.2,605.5,3.6,0.3,42685.2,42854.7
"IG_1974",1.1,54.6,142.2,0.4,2.6,8.1,351.3,2.5,0.4,44543.8,44686
"IG_1975",50.7,30.4,77.1,0.4,2.5,325.3,195.1,2.5,0.4,31340.1,31417.2
"IG_1976",5.7,61.7,135.8,0.5,2.2,36.5,395.8,2.9,0.3,45714.4,45850.2
"IG_1980",72.4,1.2,0,0,0,0,7.7,0,0,42329.8,42329.9
"IG_1983",74,58.3,118.5,0.5,2,474.6,373.9,3.2,0.3,29484.3,29602.8
"IG_1985",47.7,96.1,232.5,0.4,2.4,305.6,616.1,2.6,0.4,43444.4,43676.9
"IG_1970",77.8,81.9,180.4,0.5,2.2,498.8,525.1,2.9,0.3,31168.6,31349
"IG_1972",38.3,41.3,101.6,0.4,2.5,244.6,263.7,2.6,0.4,30771.2,30872.8
"IG_1977",63.1,102.2,217.4,0.5,2.1,391,641.9,3,0.3,20043.6,20261
"Total (IndyGo)",2156.9,1891.3,4039.3,0.5,2.1,10421.8,12040.4,3,0.3,"",""
